2012/02/24 14:12:39 - Connecting to AWS region us-west-2.
2012/02/24 14:12:39 - Calculating new unique cluster name for request 155.
2012/02/24 14:12:40 - Creating new cluster name, Thor-3WZ6.
2012/02/24 14:12:40 - Creating Thor-3WZ6 security group.
2012/02/24 14:12:43 - Creating Thor-3WZ6 key pair.
2012/02/24 14:12:44 - Launching 11 m1.large nodes using ami-94b33ea4.
2012/02/24 14:12:45 - Reservation ID r-905419a0 created.
2012/02/24 14:12:45 - Waiting for 11 of 11 nodes to launch.
2012/02/24 14:12:53 - Waiting for 11 of 11 nodes to launch.
2012/02/24 14:13:01 - Waiting for 11 of 11 nodes to launch.
2012/02/24 14:13:09 - Waiting for 10 of 11 nodes to launch.
2012/02/24 14:13:17 - Waiting for 1 of 11 nodes to launch.
2012/02/24 14:13:22 - Pending instances have completed.
2012/02/24 14:13:22 - Checking each node launched properly.
2012/02/24 14:14:26 - Sending ~/node_health_script via SFTP.
2012/02/24 14:14:26 - Copying ~/node_health_script to desitnation.
2012/02/24 14:14:27 - Checking file contents.
2012/02/24 14:14:27 - Remote file contents confirmed.
2012/02/24 14:14:28 - No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/02/24 14:14:28 - Writing cluster private ip addresses to file on instance.
2012/02/24 14:14:28 - Sending /etc/HPCCSystems/source/ips.txt via SFTP.
2012/02/24 14:14:29 - Copying /etc/HPCCSystems/source/ips.txt to desitnation.
2012/02/24 14:14:29 - Checking file contents.
2012/02/24 14:14:29 - Remote file contents confirmed.
2012/02/24 14:14:29 - Running envgen
2012/02/24 14:14:30 - Reading the config file.
2012/02/24 14:14:30 - Retrieving IP address of ESP Server.
2012/02/24 14:14:31 - ESP Server private IP address: 10.252.47.151.
2012/02/24 14:14:31 - ESP Server public IP address: 50.112.20.200.
2012/02/24 14:14:31 - 50.112.46.29:    Starting node configuration.
2012/02/24 14:14:31 - 50.112.20.200:   Starting node configuration.
2012/02/24 14:14:31 - 50.112.46.29:    Connecting via SSH.
2012/02/24 14:14:31 - 50.112.20.200:   Connecting via SSH.
2012/02/24 14:14:31 - 50.112.5.108:    Starting node configuration.
2012/02/24 14:14:31 - 50.112.5.108:    Connecting via SSH.
2012/02/24 14:14:31 - 50.112.16.56:    Starting node configuration.
2012/02/24 14:14:31 - 50.112.16.56:    Connecting via SSH.
2012/02/24 14:14:31 - 50.112.5.127:    Starting node configuration.
2012/02/24 14:14:31 - 50.112.5.127:    Connecting via SSH.
2012/02/24 14:14:31 - 50.112.29.140:   Starting node configuration.
2012/02/24 14:14:31 - 50.112.29.140:   Connecting via SSH.
2012/02/24 14:14:31 - 50.112.49.97:    Starting node configuration.
2012/02/24 14:14:31 - 50.112.29.209:   Starting node configuration.
2012/02/24 14:14:31 - 50.112.49.97:    Connecting via SSH.
2012/02/24 14:14:31 - 50.112.46.215:   Starting node configuration.
2012/02/24 14:14:31 - 50.112.46.215:   Connecting via SSH.
2012/02/24 14:14:31 - 50.112.29.209:   Connecting via SSH.
2012/02/24 14:14:31 - 50.112.55.63:    Starting node configuration.
2012/02/24 14:14:31 - 50.112.55.63:    Connecting via SSH.
2012/02/24 14:14:31 - 50.112.51.239:   Starting node configuration.
2012/02/24 14:14:31 - 50.112.51.239:   Connecting via SSH.
2012/02/24 14:14:33 - 50.112.5.108:    Checking software installation completed.
2012/02/24 14:14:33 - 50.112.29.140:   Checking software installation completed.
2012/02/24 14:14:33 - 50.112.51.239:   Checking software installation completed.
2012/02/24 14:14:33 - 50.112.55.63:    Checking software installation completed.
2012/02/24 14:14:33 - 50.112.46.215:   Checking software installation completed.
2012/02/24 14:14:33 - 50.112.5.127:    Checking software installation completed.
2012/02/24 14:14:33 - 50.112.20.200:   Checking software installation completed.
2012/02/24 14:14:33 - 50.112.49.97:    Checking software installation completed.
2012/02/24 14:14:33 - 50.112.29.209:   Checking software installation completed.
2012/02/24 14:14:33 - 50.112.16.56:    Checking software installation completed.
2012/02/24 14:14:33 - 50.112.46.29:    Checking software installation completed.
2012/02/24 14:14:33 - 50.112.5.108:    Software installation finished.
2012/02/24 14:14:33 - 50.112.5.108:    Sending ~/node_health_script via SFTP.
2012/02/24 14:14:33 - 50.112.29.140:   Software installation finished.
2012/02/24 14:14:33 - 50.112.29.140:   Sending ~/node_health_script via SFTP.
2012/02/24 14:14:33 - 50.112.55.63:    Software installation finished.
2012/02/24 14:14:33 - 50.112.55.63:    Sending ~/node_health_script via SFTP.
