2012/11/18 23:02:10 - Connecting to AWS region us-west-2.
2012/11/18 23:02:10 - Calculating new unique cluster name for request 403.
2012/11/18 23:02:11 - Creating new cluster name, Hpcc-4RHN.
2012/11/18 23:02:11 - Creating Hpcc-4RHN security group.
2012/11/18 23:02:14 - Creating Hpcc-4RHN key pair.
2012/11/18 23:02:15 - Launching 18 m1.large nodes using ami-e01698d0.
2012/11/18 23:02:15 - Reservation ID r-9d3711ae created.
2012/11/18 23:02:15 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:02:25 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:02:34 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:02:43 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:02:52 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:03:01 - Waiting for 18 of 18 nodes to launch.
2012/11/18 23:03:11 - Waiting for 14 of 18 nodes to launch.
2012/11/18 23:03:20 - Waiting for 10 of 18 nodes to launch.
2012/11/18 23:03:27 - Waiting for 6 of 18 nodes to launch.
2012/11/18 23:03:34 - Waiting for 4 of 18 nodes to launch.
2012/11/18 23:03:40 - Waiting for 2 of 18 nodes to launch.
2012/11/18 23:03:45 - Waiting for 2 of 18 nodes to launch.
2012/11/18 23:03:51 - Waiting for 2 of 18 nodes to launch.
2012/11/18 23:03:56 - Waiting for 1 of 18 nodes to launch.
2012/11/18 23:04:01 - Waiting for 1 of 18 nodes to launch.
2012/11/18 23:04:07 - Waiting for 1 of 18 nodes to launch.
2012/11/18 23:04:12 - Waiting for 1 of 18 nodes to launch.
2012/11/18 23:04:17 - Waiting for 1 of 18 nodes to launch.
2012/11/18 23:04:22 - Pending instances have completed.
2012/11/18 23:04:22 - Checking each node launched properly.
2012/11/18 23:07:22 - Reservation ID r-d13412e2 created.
2012/11/18 23:07:22 - Waiting for 1 of 1 nodes to launch.
2012/11/18 23:07:27 - Waiting for 1 of 1 nodes to launch.
2012/11/18 23:07:32 - Waiting for 1 of 1 nodes to launch.
2012/11/18 23:07:38 - Waiting for 1 of 1 nodes to launch.
2012/11/18 23:07:43 - Waiting for 1 of 1 nodes to launch.
2012/11/18 23:07:48 - Waiting for 1 of 1 nodes to launch.
2012/11/18 23:07:53 - Waiting for 1 of 1 nodes to launch.
2012/11/18 23:07:59 - Waiting for 1 of 1 nodes to launch.
2012/11/18 23:08:04 - Waiting for 1 of 1 nodes to launch.
2012/11/18 23:08:09 - Pending instances have completed.
2012/11/18 23:08:09 - Checking each node launched properly.
2012/11/18 23:08:09 - 54.245.23.85:    Checking EC2 instance i-77594b44.
2012/11/18 23:08:09 - 54.245.23.85:    Checking EC2 instance is running.
2012/11/18 23:08:09 - 54.245.23.85:    Connecting via SSH.
2012/11/18 23:08:24 - 54.245.23.85:    Checking software installation completed.
2012/11/18 23:08:24 - 54.245.23.85:    Software installation finished.
2012/11/18 23:08:24 - 54.245.23.85:    Sending /home/ubuntu/node_health_script via SFTP.
2012/11/18 23:08:25 - 54.245.23.85:    Checking file contents.
2012/11/18 23:08:25 - 54.245.23.85:    Remote file contents confirmed.
2012/11/18 23:08:26 - 54.245.23.85:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/18 23:08:26 - 54.245.23.85:    Completed check of node 54.245.23.85.
2012/11/18 23:08:26 - Determining availability zone.
2012/11/18 23:08:26 - Gathering public and private ip addresses.
2012/11/18 23:08:26 - Connecting to node 50.112.72.69 for cluster configuration.
2012/11/18 23:08:26 - Connecting via SSH.
2012/11/18 23:08:27 - Checking software installation completed.
2012/11/18 23:08:27 - Software installation finished.
2012/11/18 23:08:27 - Sending /home/ubuntu/node_health_script via SFTP.
2012/11/18 23:08:28 - Checking file contents.
