2013/05/20 09:48:07 - Connecting to AWS region us-west-2.
2013/05/20 09:48:07 - Calculating new unique cluster name for request 602.
2013/05/20 09:48:08 - Creating new cluster name, Hpcc-P2R7.
2013/05/20 09:48:08 - Creating Hpcc-P2R7 security group.
2013/05/20 09:48:11 - Creating Hpcc-P2R7 key pair.
2013/05/20 09:48:12 - Launching 11 m1.large nodes using ami-c1ca5cf1.
2013/05/20 09:48:13 - Reservation ID r-03051131 created.
2013/05/20 09:48:13 - Waiting for 11 of 11 nodes to launch.
2013/05/20 09:48:21 - Waiting for 11 of 11 nodes to launch.
2013/05/20 09:48:28 - Waiting for 11 of 11 nodes to launch.
2013/05/20 09:48:36 - Waiting for 11 of 11 nodes to launch.
2013/05/20 09:48:43 - Waiting for 11 of 11 nodes to launch.
2013/05/20 09:48:50 - Waiting for 11 of 11 nodes to launch.
2013/05/20 09:48:58 - Waiting for 11 of 11 nodes to launch.
2013/05/20 09:49:06 - Waiting for 9 of 11 nodes to launch.
2013/05/20 09:49:13 - Waiting for 7 of 11 nodes to launch.
2013/05/20 09:49:20 - Waiting for 3 of 11 nodes to launch.
2013/05/20 09:49:25 - Pending instances have completed.
2013/05/20 09:49:25 - Checking each node launched properly.
2013/05/20 09:50:00 - Connecting via SSH.
2013/05/20 09:50:01 - Checking software installation completed.
2013/05/20 09:50:01 - Software installation finished.
2013/05/20 09:50:01 - Sending /home/ubuntu/node_health_script via SFTP.
2013/05/20 09:50:02 - Checking file contents.
2013/05/20 09:50:02 - Remote file contents confirmed.
2013/05/20 09:50:03 - No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/20 09:50:03 - Writing cluster private ip addresses to file on instance.
2013/05/20 09:50:03 - Sending /etc/HPCCSystems/source/ips.txt via SFTP.
2013/05/20 09:50:03 - Copying /etc/HPCCSystems/source/ips.txt to desitnation.
2013/05/20 09:50:04 - Checking file contents.
2013/05/20 09:50:04 - Remote file contents confirmed.
2013/05/20 09:50:04 - Running envgen
2013/05/20 09:50:05 - Reading the config file.
2013/05/20 09:50:05 - Retrieving IP address of ESP Server.
2013/05/20 09:50:05 - ESP Server private IP address: 10.254.83.72.
2013/05/20 09:50:05 - ESP Server public IP address: 54.214.68.113.
2013/05/20 09:50:06 - 54.214.68.113:   Starting node configuration.
2013/05/20 09:50:06 - 54.214.68.113:   Connecting via SSH.
2013/05/20 09:50:06 - 54.245.207.120:  Starting node configuration.
2013/05/20 09:50:06 - 54.245.207.120:  Connecting via SSH.
2013/05/20 09:50:06 - 54.244.218.166:  Starting node configuration.
2013/05/20 09:50:06 - 54.244.218.166:  Connecting via SSH.
2013/05/20 09:50:06 - 54.214.129.217:  Starting node configuration.
