2013/01/22 01:52:34 - Connecting to AWS region us-west-2.
2013/01/22 01:52:34 - Calculating new unique cluster name for request 480.
2013/01/22 01:52:35 - Creating new cluster name, Hpcc-D89Y.
2013/01/22 01:52:35 - Creating Hpcc-D89Y security group.
2013/01/22 01:52:39 - Creating Hpcc-D89Y key pair.
2013/01/22 01:52:41 - Launching 22 m1.large nodes using ami-e01698d0.
2013/01/22 01:52:42 - Reservation ID r-6652a454 created.
2013/01/22 01:52:42 - Waiting for 22 of 22 nodes to launch.
2013/01/22 01:52:55 - Waiting for 22 of 22 nodes to launch.
2013/01/22 01:53:06 - Waiting for 22 of 22 nodes to launch.
2013/01/22 01:53:17 - Waiting for 22 of 22 nodes to launch.
2013/01/22 01:53:27 - Waiting for 22 of 22 nodes to launch.
2013/01/22 01:53:38 - Waiting for 22 of 22 nodes to launch.
2013/01/22 01:53:50 - Waiting for 17 of 22 nodes to launch.
2013/01/22 01:54:01 - Waiting for 6 of 22 nodes to launch.
2013/01/22 01:54:08 - Pending instances have completed.
2013/01/22 01:54:08 - Checking each node launched properly.
2013/01/22 01:54:30 - 50.112.41.42:    Starting node configuration.
2013/01/22 01:54:30 - 50.112.224.59:   Starting node configuration.
2013/01/22 01:54:30 - 50.112.216.185:  Starting node configuration.
2013/01/22 01:54:30 - 50.112.41.42:    Connecting via SSH.
2013/01/22 01:54:30 - 50.112.216.185:  Connecting via SSH.
2013/01/22 01:54:30 - 50.112.20.140:   Starting node configuration.
2013/01/22 01:54:30 - 54.245.140.224:  Starting node configuration.
2013/01/22 01:54:30 - 54.245.140.224:  Connecting via SSH.
2013/01/22 01:54:30 - 50.112.224.59:   Connecting via SSH.
2013/01/22 01:54:30 - 54.245.170.14:   Starting node configuration.
2013/01/22 01:54:30 - 54.245.170.14:   Connecting via SSH.
2013/01/22 01:54:30 - 54.245.57.211:   Starting node configuration.
2013/01/22 01:54:30 - 54.245.162.233:  Starting node configuration.
2013/01/22 01:54:30 - 50.112.20.140:   Connecting via SSH.
2013/01/22 01:54:30 - 54.245.53.126:   Starting node configuration.
2013/01/22 01:54:30 - 54.245.57.211:   Connecting via SSH.
2013/01/22 01:54:30 - 54.245.53.126:   Connecting via SSH.
2013/01/22 01:54:30 - 54.245.162.233:  Connecting via SSH.
2013/01/22 01:54:30 - 54.245.155.25:   Starting node configuration.
2013/01/22 01:54:30 - 54.245.155.25:   Connecting via SSH.
2013/01/22 01:54:33 - 54.245.155.76:   Checking software installation completed.
2013/01/22 01:54:33 - 50.112.220.33:   Checking software installation completed.
2013/01/22 01:54:33 - 54.245.53.126:   Checking software installation completed.
2013/01/22 01:54:33 - 50.112.220.33:   Software installation finished.
2013/01/22 01:54:33 - 50.112.220.33:   Sending /home/ubuntu/node_health_script via SFTP.
2013/01/22 01:54:33 - 54.245.155.76:   Software installation finished.
2013/01/22 01:54:33 - 54.245.155.76:   Sending /home/ubuntu/node_health_script via SFTP.
2013/01/22 01:54:33 - 50.112.41.72:    Checking software installation completed.
2013/01/22 01:54:33 - 50.112.37.195:   Checking software installation completed.
2013/01/22 01:54:33 - 50.112.20.140:   Checking software installation completed.
2013/01/22 01:54:33 - 50.112.55.158:   Checking software installation completed.
2013/01/22 01:54:33 - 50.112.193.202:  Checking software installation completed.
2013/01/22 01:54:33 - 54.245.53.126:   Software installation finished.
2013/01/22 01:54:33 - 54.245.53.126:   Sending /home/ubuntu/node_health_script via SFTP.
2013/01/22 01:54:33 - 50.112.41.42:    Checking software installation completed.
2013/01/22 01:54:33 - 50.112.216.185:  Checking software installation completed.
2013/01/22 01:54:33 - 50.112.51.78:    Checking software installation completed.
2013/01/22 01:54:33 - 54.245.155.25:   Checking software installation completed.
2013/01/22 01:54:33 - 54.245.164.40:   Checking software installation completed.
2013/01/22 01:54:33 - 54.245.143.135:  Checking software installation completed.
2013/01/22 01:54:33 - 54.245.170.14:   Checking software installation completed.
2013/01/22 01:54:33 - 50.112.224.59:   Checking software installation completed.
2013/01/22 01:54:33 - 54.245.140.224:  Checking software installation completed.
2013/01/22 01:54:33 - 54.245.162.233:  Checking software installation completed.
2013/01/22 01:54:33 - 54.245.162.239:  Checking software installation completed.
2013/01/22 01:54:33 - 50.112.234.139:  Checking software installation completed.
2013/01/22 01:54:33 - 54.245.144.173:  Checking software installation completed.
2013/01/22 01:54:33 - 50.112.37.195:   Software installation finished.
2013/01/22 01:54:33 - 50.112.37.195:   Sending /home/ubuntu/node_health_script via SFTP.
2013/01/22 01:54:33 - 50.112.20.140:   Software installation finished.
2013/01/22 01:54:33 - 50.112.20.140:   Sending /home/ubuntu/node_health_script via SFTP.
