2015/11/09 11:48:23 - Connecting to AWS region us-west-2.
2015/11/09 11:48:23 - Calculating new unique cluster name for request 1170.
2015/11/09 11:48:23 - Creating new cluster name, Hpcc-VUHX.
2015/11/09 11:48:23 - Creating Hpcc-VUHX security group.
2015/11/09 11:48:26 - Creating Hpcc-VUHX key pair.
2015/11/09 11:48:26 - Launching 14 m1.large nodes using ami-de1700bf.
2015/11/09 11:48:27 - Reservation ID r-380701cf created.
2015/11/09 11:48:27 - Waiting for 14 of 14 nodes to launch.
2015/11/09 11:48:35 - Waiting for 14 of 14 nodes to launch.
2015/11/09 11:48:43 - Waiting for 14 of 14 nodes to launch.
2015/11/09 11:48:51 - Waiting for 14 of 14 nodes to launch.
2015/11/09 11:48:58 - Waiting for 14 of 14 nodes to launch.
2015/11/09 11:49:05 - Waiting for 14 of 14 nodes to launch.
2015/11/09 11:49:12 - Waiting for 14 of 14 nodes to launch.
2015/11/09 11:49:19 - Waiting for 13 of 14 nodes to launch.
2015/11/09 11:49:26 - Waiting for 13 of 14 nodes to launch.
2015/11/09 11:49:33 - Waiting for 12 of 14 nodes to launch.
2015/11/09 11:49:41 - Waiting for 4 of 14 nodes to launch.
2015/11/09 11:49:47 - Waiting for 1 of 14 nodes to launch.
2015/11/09 11:49:52 - Pending instances have completed.
2015/11/09 11:49:52 - Checking each node launched properly.
2015/11/09 11:50:18 - Checking file contents.
2015/11/09 11:50:18 - Remote file contents confirmed.
2015/11/09 11:50:19 - No Packet, Sys logs, free memory, free disk, or disk I/O errors
2015/11/09 11:50:19 - Writing cluster private ip addresses to file on instance.
2015/11/09 11:50:19 - Sending /etc/HPCCSystems/source/ips.txt via SFTP.
2015/11/09 11:50:20 - Copying /etc/HPCCSystems/source/ips.txt to desitnation.
2015/11/09 11:50:20 - Checking file contents.
2015/11/09 11:50:20 - Remote file contents confirmed.
2015/11/09 11:50:20 - Running envgen
2015/11/09 11:50:21 - Reading the config file.
2015/11/09 11:50:22 - Retrieving IP address of ESP Server.
2015/11/09 11:50:22 - ESP Server private IP address: 172.31.16.141.
2015/11/09 11:50:22 - ESP Server public IP address: 52.33.127.177.
2015/11/09 11:50:22 - 52.33.165.36:    Starting node configuration.
2015/11/09 11:50:22 - 52.33.165.36:    Connecting via SSH.
2015/11/09 11:50:22 - 52.33.177.76:    Starting node configuration.
2015/11/09 11:50:22 - 52.33.127.177:   Starting node configuration.
2015/11/09 11:50:22 - 52.26.213.247:   Starting node configuration.
2015/11/09 11:50:22 - 52.33.159.255:   Starting node configuration.
2015/11/09 11:50:22 - 52.33.127.177:   Connecting via SSH.
2015/11/09 11:50:22 - 52.33.157.172:   Starting node configuration.
