2013/09/12 16:59:56 - 54.214.195.4:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/12 16:59:56 - 54.245.179.246:  Completed check of node 54.245.179.246.
2013/09/12 16:59:56 - 54.245.18.73:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/12 16:59:56 - 54.214.195.4:    Completed check of node 54.214.195.4.
2013/09/12 16:59:56 - 54.245.18.73:    Completed check of node 54.245.18.73.
2013/09/12 16:59:56 - 54.245.221.118:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/12 16:59:56 - 54.245.221.118:  Completed check of node 54.245.221.118.
2013/09/12 16:59:58 - 54.212.77.219:   Checking software installation completed.
2013/09/12 16:59:58 - 54.212.77.219:   Waiting for software to install.
2013/09/12 17:00:08 - 54.212.77.219:   Software installation finished.
2013/09/12 17:00:08 - 54.212.77.219:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 17:00:09 - 54.212.77.219:   Checking file contents.
2013/09/12 17:00:09 - 54.212.77.219:   Remote file contents confirmed.
2013/09/12 17:00:11 - 54.212.77.219:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/12 17:00:11 - 54.212.77.219:   Completed check of node 54.212.77.219.
2013/09/12 17:00:11 - Determining availability zone.
2013/09/12 17:00:11 - Gathering public and private ip addresses.
2013/09/12 17:00:11 - Connecting to node 54.245.57.183 for cluster configuration.
2013/09/12 17:00:11 - Connecting via SSH.
2013/09/12 17:00:12 - Checking software installation completed.
2013/09/12 17:00:12 - Software installation finished.
2013/09/12 17:00:12 - Sending /home/ubuntu/node_health_script via SFTP.
2013/09/12 17:00:13 - Checking file contents.
2013/09/12 17:00:13 - Remote file contents confirmed.
2013/09/12 17:00:14 - No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/12 17:00:14 - Writing cluster private ip addresses to file on instance.
2013/09/12 17:00:14 - Sending /etc/HPCCSystems/source/ips.txt via SFTP.
2013/09/12 17:00:14 - Copying /etc/HPCCSystems/source/ips.txt to desitnation.
2013/09/12 17:00:15 - Checking file contents.
2013/09/12 17:00:15 - Remote file contents confirmed.
2013/09/12 17:00:15 - Running envgen
2013/09/12 17:00:16 - Reading the config file.
2013/09/12 17:00:16 - Retrieving IP address of ESP Server.
2013/09/12 17:00:17 - ESP Server private IP address: 10.253.108.23.
2013/09/12 17:00:17 - ESP Server public IP address: 54.245.57.183.
2013/09/12 17:00:17 - 54.245.57.183:   Starting node configuration.
2013/09/12 17:00:17 - 54.245.221.118:  Starting node configuration.
2013/09/12 17:00:17 - 54.245.57.183:   Connecting via SSH.
2013/09/12 17:00:17 - 54.245.221.118:  Connecting via SSH.
2013/09/12 17:00:17 - 54.214.117.100:  Starting node configuration.
2013/09/12 17:00:17 - 54.244.110.95:   Starting node configuration.
2013/09/12 17:00:17 - 54.214.117.100:  Connecting via SSH.
2013/09/12 17:00:17 - 54.214.137.21:   Starting node configuration.
2013/09/12 17:00:17 - 54.212.160.99:   Starting node configuration.
2013/09/12 17:00:17 - 54.214.184.199:  Starting node configuration.
2013/09/12 17:00:17 - 54.244.110.95:   Connecting via SSH.
2013/09/12 17:00:17 - 54.214.184.199:  Connecting via SSH.
2013/09/12 17:00:17 - 54.245.18.73:    Starting node configuration.
2013/09/12 17:00:17 - 54.218.148.232:  Starting node configuration.
