2012/01/31 18:02:03 - Connecting to AWS region us-east-1.
2012/01/31 18:02:03 - Calculating new unique cluster name for request 62.
2012/01/31 18:02:03 - Creating new cluster name, Thor-8CKU.
2012/01/31 18:02:03 - Creating Thor-8CKU security group.
2012/01/31 18:02:05 - Creating Thor-8CKU key pair.
2012/01/31 18:02:06 - Launching 255 m1.large nodes using ami-fbbf7892.
2012/01/31 18:02:13 - Reservation ID r-eece358e created
2012/01/31 18:02:13 - Waiting for 255 of 255 nodes to launch.
2012/01/31 18:02:41 - Waiting for 255 of 255 nodes to launch.
2012/01/31 18:02:59 - Waiting for 255 of 255 nodes to launch.
2012/01/31 18:03:26 - Waiting for 203 of 255 nodes to launch.
2012/01/31 18:03:50 - Waiting for 33 of 255 nodes to launch.
2012/01/31 18:03:57 - Waiting for 9 of 255 nodes to launch.
2012/01/31 18:04:03 - Waiting for 5 of 255 nodes to launch.
2012/01/31 18:04:08 - Waiting for 5 of 255 nodes to launch.
2012/01/31 18:04:14 - Waiting for 5 of 255 nodes to launch.
2012/01/31 18:04:19 - Waiting for 4 of 255 nodes to launch.
2012/01/31 18:04:24 - Waiting for 3 of 255 nodes to launch.
2012/01/31 18:04:30 - Waiting for 2 of 255 nodes to launch.
2012/01/31 18:04:35 - Waiting for 2 of 255 nodes to launch.
2012/01/31 18:04:40 - Waiting for 2 of 255 nodes to launch.
2012/01/31 18:04:45 - Pending instances have completed.
2012/01/31 18:04:45 - Checking each node launched properly.
2012/01/31 18:05:00 - 50.16.91.149:    Waiting for software to install.
2012/01/31 18:05:00 - 107.21.155.93:   Waiting for software to install.
2012/01/31 18:05:00 - 174.129.121.132: Waiting for software to install.
2012/01/31 18:05:01 - 50.17.154.158:   Waiting for software to install.
2012/01/31 18:05:01 - 184.73.60.110:   Waiting for software to install.
2012/01/31 18:05:01 - 50.16.44.124:    Waiting for software to install.
2012/01/31 18:05:02 - 184.73.70.153:   Waiting for software to install.
2012/01/31 18:05:03 - 50.19.179.220:   Waiting for software to install.
2012/01/31 18:05:03 - 174.129.109.181: Waiting for software to install.
2012/01/31 18:05:03 - 174.129.95.77:   Waiting for software to install.
2012/01/31 18:05:03 - 184.73.137.98:   Waiting for software to install.
2012/01/31 18:05:03 - 107.21.67.205:   Waiting for software to install.
2012/01/31 18:05:06 - 107.22.155.136:  Waiting for software to install.
2012/01/31 18:05:08 - 107.22.133.211:  Waiting for software to install.
2012/01/31 18:05:09 - 107.20.69.221:   Waiting for software to install.
2012/01/31 18:05:09 - 23.20.39.61:     Waiting for software to install.
2012/01/31 18:05:09 - 50.17.53.240:    Waiting for software to install.
2012/01/31 18:05:09 - 184.73.4.9:      Waiting for software to install.
2012/01/31 18:05:09 - 107.20.119.151:  Waiting for software to install.
2012/01/31 18:05:09 - 50.17.3.55:      Waiting for software to install.
2012/01/31 18:05:09 - 107.21.179.226:  Waiting for software to install.
2012/01/31 18:05:10 - 50.16.179.129:   Waiting for software to install.
