2015/05/01 15:39:40 - Connecting to AWS region us-east-1.
2015/05/01 15:39:40 - Calculating new unique cluster name for request 1085.
2015/05/01 15:39:40 - Creating new cluster name, Hpcc-ZBH7.
2015/05/01 15:39:40 - Creating Hpcc-ZBH7 security group.
2015/05/01 15:39:42 - Creating Hpcc-ZBH7 key pair.
2015/05/01 15:39:42 - Launching 20 m1.large nodes using ami-72ac861a.
2015/05/01 15:39:43 - Reservation ID r-27e505d6 created.
2015/05/01 15:39:43 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:39:50 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:39:57 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:40:04 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:40:10 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:40:17 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:40:23 - Waiting for 20 of 20 nodes to launch.
2015/05/01 15:40:30 - Waiting for 16 of 20 nodes to launch.
2015/05/01 15:40:37 - Waiting for 12 of 20 nodes to launch.
2015/05/01 15:40:43 - Waiting for 5 of 20 nodes to launch.
2015/05/01 15:40:48 - Waiting for 5 of 20 nodes to launch.
2015/05/01 15:40:54 - Waiting for 2 of 20 nodes to launch.
2015/05/01 15:40:59 - Pending instances have completed.
2015/05/01 15:40:59 - Checking each node launched properly.
2015/05/01 15:41:26 - Retrieving IP address of ESP Server.
2015/05/01 15:41:26 - ESP Server private IP address: 172.31.59.228.
2015/05/01 15:41:26 - ESP Server public IP address: 52.4.208.17.
2015/05/01 15:41:27 - 52.7.30.77:      Starting node configuration.
2015/05/01 15:41:27 - 52.7.14.178:     Starting node configuration.
2015/05/01 15:41:27 - 52.7.30.77:      Connecting via SSH.
2015/05/01 15:41:27 - 52.0.168.171:    Starting node configuration.
2015/05/01 15:41:27 - 52.7.14.178:     Connecting via SSH.
2015/05/01 15:41:27 - 52.7.35.11:      Starting node configuration.
2015/05/01 15:41:27 - 52.4.208.17:     Starting node configuration.
2015/05/01 15:41:27 - 52.6.19.189:     Starting node configuration.
2015/05/01 15:41:27 - 52.4.208.17:     Connecting via SSH.
2015/05/01 15:41:27 - 52.7.36.99:      Starting node configuration.
2015/05/01 15:41:27 - 52.7.36.99:      Connecting via SSH.
2015/05/01 15:41:27 - 52.6.19.189:     Connecting via SSH.
2015/05/01 15:41:27 - 52.7.35.11:      Connecting via SSH.
2015/05/01 15:41:27 - 52.0.168.171:    Connecting via SSH.
2015/05/01 15:41:27 - 52.7.32.24:      Starting node configuration.
2015/05/01 15:41:27 - 52.7.32.24:      Connecting via SSH.
2015/05/01 15:41:27 - 52.7.35.221:     Starting node configuration.
2015/05/01 15:41:27 - 52.7.35.221:     Connecting via SSH.
2015/05/01 15:41:27 - 52.7.33.50:      Starting node configuration.
2015/05/01 15:41:27 - 52.7.32.241:     Starting node configuration.
2015/05/01 15:41:27 - 52.7.34.175:     Starting node configuration.
2015/05/01 15:41:27 - 52.7.32.241:     Connecting via SSH.
2015/05/01 15:41:27 - 52.7.33.50:      Connecting via SSH.
2015/05/01 15:41:27 - 52.7.32.131:     Starting node configuration.
2015/05/01 15:41:27 - 52.7.35.214:     Starting node configuration.
2015/05/01 15:41:27 - 52.7.35.214:     Connecting via SSH.
2015/05/01 15:41:27 - 52.7.32.209:     Starting node configuration.
2015/05/01 15:41:27 - 52.4.103.50:     Starting node configuration.
2015/05/01 15:41:27 - 52.4.103.50:     Connecting via SSH.
2015/05/01 15:41:27 - 52.7.32.131:     Connecting via SSH.
2015/05/01 15:41:27 - 52.7.34.175:     Connecting via SSH.
2015/05/01 15:41:27 - 52.7.32.209:     Connecting via SSH.
2015/05/01 15:41:27 - 52.7.33.82:      Starting node configuration.
2015/05/01 15:41:27 - 52.4.236.183:    Starting node configuration.
2015/05/01 15:41:27 - 52.7.36.31:      Starting node configuration.
2015/05/01 15:41:27 - 52.6.63.241:     Starting node configuration.
2015/05/01 15:41:27 - 52.6.63.241:     Connecting via SSH.
