2014/07/13 15:13:43 - Connecting to AWS region us-east-1.
2014/07/13 15:13:43 - Calculating new unique cluster name for request 852.
2014/07/13 15:13:43 - Creating new cluster name, Hpcc-96MS.
2014/07/13 15:13:43 - Creating Hpcc-96MS security group.
2014/07/13 15:21:11 - Terminating 1 bad instances.
2014/07/13 15:21:11 - Terminating instances.
2014/07/13 15:21:11 - Waiting for 1 instances to terminate.
2014/07/13 15:21:16 - Waiting for 1 instances to terminate.
2014/07/13 15:21:21 - Waiting for 1 instances to terminate.
2014/07/13 15:21:26 - Waiting for 1 instances to terminate.
2014/07/13 15:21:32 - Waiting for 1 instances to terminate.
2014/07/13 15:21:37 - Launching 1 new nodes.
2014/07/13 15:21:37 - Reservation ID r-714d6e0e created.
2014/07/13 15:21:37 - Waiting for 1 of 1 nodes to launch.
2014/07/13 15:21:42 - Waiting for 1 of 1 nodes to launch.
2014/07/13 15:21:48 - Waiting for 1 of 1 nodes to launch.
2014/07/13 15:21:53 - Waiting for 1 of 1 nodes to launch.
2014/07/13 15:21:58 - Waiting for 1 of 1 nodes to launch.
2014/07/13 15:22:03 - Waiting for 1 of 1 nodes to launch.
2014/07/13 15:22:08 - Waiting for 1 of 1 nodes to launch.
2014/07/13 15:22:13 - Waiting for 1 of 1 nodes to launch.
2014/07/13 15:22:18 - Waiting for 1 of 1 nodes to launch.
2014/07/13 15:22:23 - Waiting for 1 of 1 nodes to launch.
2014/07/13 15:22:28 - Waiting for 1 of 1 nodes to launch.
2014/07/13 15:22:33 - Waiting for 1 of 1 nodes to launch.
2014/07/13 15:22:38 - Waiting for 1 of 1 nodes to launch.
2014/07/13 15:22:43 - Waiting for 1 of 1 nodes to launch.
2014/07/13 15:22:49 - Waiting for 1 of 1 nodes to launch.
2014/07/13 15:22:54 - Waiting for 1 of 1 nodes to launch.
2014/07/13 15:22:59 - Waiting for 1 of 1 nodes to launch.
2014/07/13 15:23:04 - Pending instances have completed.
2014/07/13 15:23:04 - Checking each node launched properly.
2014/07/13 15:23:04 - 54.242.13.126:   Checking EC2 instance i-f48faadf.
2014/07/13 15:23:04 - 54.242.13.126:   Checking EC2 instance is running.
2014/07/13 15:23:04 - 54.242.13.126:   Connecting via SSH.
2014/07/13 15:23:07 - 54.242.13.126:   Waiting on SSH connection.
2014/07/13 15:23:13 - 54.242.13.126:   Checking software installation completed.
2014/07/13 15:23:13 - 54.242.13.126:   Waiting for software to install.
2014/07/13 15:23:23 - 54.242.13.126:   Software installation finished.
2014/07/13 15:23:23 - 54.242.13.126:   Sending /home/ubuntu/node_health_script via SFTP.
2014/07/13 15:23:23 - 54.242.13.126:   Checking file contents.
2014/07/13 15:23:23 - 54.242.13.126:   Remote file contents confirmed.
2014/07/13 15:23:23 - 54.242.13.126:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/07/13 15:23:23 - 54.242.13.126:   Completed check of node 54.242.13.126.
2014/07/13 15:23:23 - Determining availability zone.
2014/07/13 15:23:23 - Gathering public and private ip addresses.
2014/07/13 15:23:23 - Connecting to node 54.83.134.225 for cluster configuration.
2014/07/13 15:23:23 - Connecting via SSH.
2014/07/13 15:23:24 - Checking software installation completed.
2014/07/13 15:23:24 - Software installation finished.
2014/07/13 15:23:24 - Sending /home/ubuntu/node_health_script via SFTP.
2014/07/13 15:23:24 - Checking file contents.
2014/07/13 15:23:24 - Remote file contents confirmed.
2014/07/13 15:23:24 - No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/07/13 15:23:24 - Writing cluster private ip addresses to file on instance.
2014/07/13 15:23:24 - Sending /etc/HPCCSystems/source/ips.txt via SFTP.
2014/07/13 15:23:24 - Copying /etc/HPCCSystems/source/ips.txt to desitnation.
2014/07/13 15:23:24 - Checking file contents.
2014/07/13 15:23:24 - Remote file contents confirmed.
2014/07/13 15:23:24 - Running envgen
2014/07/13 15:23:25 - Reading the config file.
2014/07/13 15:23:26 - Retrieving IP address of ESP Server.
2014/07/13 15:23:26 - ESP Server private IP address: 10.96.151.193.
2014/07/13 15:23:26 - ESP Server public IP address: 54.83.134.225.
2014/07/13 15:23:26 - 54.90.28.68:     Starting node configuration.
2014/07/13 15:23:26 - 54.90.83.129:    Starting node configuration.
2014/07/13 15:23:26 - 50.17.18.69:     Starting node configuration.
2014/07/13 15:23:26 - 50.17.18.69:     Connecting via SSH.
2014/07/13 15:23:26 - 54.197.134.126:  Starting node configuration.
2014/07/13 15:23:26 - 54.197.134.126:  Connecting via SSH.
2014/07/13 15:23:26 - 23.20.123.174:   Starting node configuration.
2014/07/13 15:23:26 - 23.20.123.174:   Connecting via SSH.
2014/07/13 15:23:26 - 54.90.28.68:     Connecting via SSH.
2014/07/13 15:23:26 - 54.83.134.225:   Starting node configuration.
2014/07/13 15:23:26 - 54.83.134.225:   Connecting via SSH.
2014/07/13 15:23:26 - 54.242.137.197:  Starting node configuration.
2014/07/13 15:23:26 - 54.242.137.197:  Connecting via SSH.
2014/07/13 15:23:26 - 54.87.170.247:   Starting node configuration.
2014/07/13 15:23:26 - 54.91.234.238:   Starting node configuration.
2014/07/13 15:23:26 - 54.87.170.247:   Connecting via SSH.
2014/07/13 15:23:26 - 54.91.234.238:   Connecting via SSH.
2014/07/13 15:23:26 - 54.91.178.110:   Starting node configuration.
2014/07/13 15:23:26 - 54.90.83.129:    Connecting via SSH.
2014/07/13 15:23:26 - 54.242.13.126:   Starting node configuration.
2014/07/13 15:23:26 - 54.91.178.110:   Connecting via SSH.
2014/07/13 15:23:26 - 54.242.13.126:   Connecting via SSH.
2014/07/13 15:23:27 - 50.17.18.69:     Checking software installation completed.
2014/07/13 15:23:27 - 54.87.170.247:   Checking software installation completed.
2014/07/13 15:23:27 - 50.17.18.69:     Software installation finished.
2014/07/13 15:23:27 - 50.17.18.69:     Sending /home/ubuntu/node_health_script via SFTP.
2014/07/13 15:23:27 - 54.90.83.129:    Checking software installation completed.
2014/07/13 15:23:27 - 54.83.134.225:   Checking software installation completed.
2014/07/13 15:23:27 - 54.91.234.238:   Checking software installation completed.
2014/07/13 15:23:27 - 54.87.170.247:   Software installation finished.
2014/07/13 15:23:27 - 54.87.170.247:   Sending /home/ubuntu/node_health_script via SFTP.
2014/07/13 15:23:27 - 50.17.18.69:     Checking file contents.
2014/07/13 15:23:27 - 54.90.28.68:     Checking software installation completed.
2014/07/13 15:23:27 - 54.90.83.129:    Software installation finished.
2014/07/13 15:23:27 - 54.90.83.129:    Sending /home/ubuntu/node_health_script via SFTP.
2014/07/13 15:23:27 - 54.91.234.238:   Software installation finished.
2014/07/13 15:23:27 - 54.91.234.238:   Sending /home/ubuntu/node_health_script via SFTP.
2014/07/13 15:23:27 - 54.83.134.225:   Software installation finished.
2014/07/13 15:23:27 - 54.83.134.225:   Sending /home/ubuntu/node_health_script via SFTP.
2014/07/13 15:23:27 - 54.87.170.247:   Checking file contents.
2014/07/13 15:23:27 - 50.17.18.69:     Remote file contents confirmed.
2014/07/13 15:23:27 - 54.197.134.126:  Checking software installation completed.
2014/07/13 15:23:27 - 54.90.28.68:     Software installation finished.
2014/07/13 15:23:27 - 54.90.28.68:     Sending /home/ubuntu/node_health_script via SFTP.
2014/07/13 15:23:27 - 54.90.83.129:    Checking file contents.
2014/07/13 15:23:27 - 54.242.137.197:  Checking software installation completed.
2014/07/13 15:23:27 - 54.90.28.68:     Checking file contents.
2014/07/13 15:23:27 - 54.197.134.126:  Software installation finished.
2014/07/13 15:23:27 - 54.197.134.126:  Sending /home/ubuntu/node_health_script via SFTP.
2014/07/13 15:23:27 - 54.242.137.197:  Software installation finished.
2014/07/13 15:23:27 - 23.20.123.174:   Checking software installation completed.
2014/07/13 15:23:27 - 54.242.137.197:  Sending /home/ubuntu/node_health_script via SFTP.
2014/07/13 15:23:27 - 54.91.178.110:   Checking software installation completed.
2014/07/13 15:23:27 - 54.90.28.68:     Remote file contents confirmed.
2014/07/13 15:23:27 - 54.91.234.238:   Checking file contents.
2014/07/13 15:23:27 - 54.83.134.225:   Checking file contents.
2014/07/13 15:23:27 - 54.90.83.129:    Remote file contents confirmed.
2014/07/13 15:23:27 - 54.197.134.126:  Checking file contents.
2014/07/13 15:23:27 - 54.91.178.110:   Software installation finished.
2014/07/13 15:23:27 - 54.91.178.110:   Sending /home/ubuntu/node_health_script via SFTP.
2014/07/13 15:23:27 - 54.87.170.247:   Remote file contents confirmed.
2014/07/13 15:23:27 - 54.91.178.110:   Checking file contents.
2014/07/13 15:23:27 - 54.242.137.197:  Checking file contents.
2014/07/13 15:23:27 - 23.20.123.174:   Software installation finished.
2014/07/13 15:23:27 - 23.20.123.174:   Sending /home/ubuntu/node_health_script via SFTP.
2014/07/13 15:23:27 - 54.91.178.110:   Remote file contents confirmed.
2014/07/13 15:23:27 - 23.20.123.174:   Checking file contents.
2014/07/13 15:23:27 - 54.242.137.197:  Remote file contents confirmed.
2014/07/13 15:23:27 - 54.83.134.225:   Remote file contents confirmed.
2014/07/13 15:23:27 - 54.91.234.238:   Remote file contents confirmed.
2014/07/13 15:23:27 - 54.197.134.126:  Remote file contents confirmed.
2014/07/13 15:23:27 - 23.20.123.174:   Remote file contents confirmed.
2014/07/13 15:23:27 - 50.17.18.69:     No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/07/13 15:23:27 - 50.17.18.69:     Sending /etc/HPCCSystems/environment.xml via SFTP.
2014/07/13 15:23:27 - 54.90.28.68:     No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/07/13 15:23:27 - 54.90.28.68:     Sending /etc/HPCCSystems/environment.xml via SFTP.
2014/07/13 15:23:27 - 54.90.83.129:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/07/13 15:23:27 - 54.90.83.129:    Sending /etc/HPCCSystems/environment.xml via SFTP.
