2013/09/19 16:44:10 - Connecting to AWS region us-west-2.
2013/09/19 16:44:10 - Calculating new unique cluster name for request 693.
2013/09/19 16:44:11 - Creating new cluster name, Hpcc-3CSR.
2013/09/19 16:44:11 - Creating Hpcc-3CSR security group.
2013/09/19 16:44:14 - Creating Hpcc-3CSR key pair.
2013/09/19 16:44:15 - Launching 18 m1.large nodes using ami-221d8012.
2013/09/19 16:44:16 - Reservation ID r-d9d792ed created.
2013/09/19 16:44:16 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:44:26 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:44:35 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:44:44 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:44:53 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:01 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:10 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:19 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:28 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:37 - Waiting for 18 of 18 nodes to launch.
2013/09/19 16:45:46 - Waiting for 3 of 18 nodes to launch.
2013/09/19 16:45:52 - Pending instances have completed.
2013/09/19 16:45:52 - Checking each node launched properly.
2013/09/19 16:46:03 - 50.112.13.105:   Completed check of node 50.112.13.105.
2013/09/19 16:46:03 - 54.214.100.206:  Remote file contents confirmed.
2013/09/19 16:46:03 - 54.212.207.13:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/19 16:46:03 - 54.212.207.13:   Completed check of node 54.212.207.13.
2013/09/19 16:46:04 - 54.214.100.206:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/19 16:46:04 - 54.214.100.206:  Completed check of node 54.214.100.206.
2013/09/19 16:46:05 - 50.112.80.181:   Checking software installation completed.
2013/09/19 16:46:05 - 50.112.80.181:   Software installation finished.
2013/09/19 16:46:05 - 50.112.80.181:   Sending /home/ubuntu/node_health_script via SFTP.
2013/09/19 16:46:06 - 50.112.80.181:   Checking file contents.
2013/09/19 16:46:06 - 50.112.80.181:   Remote file contents confirmed.
2013/09/19 16:46:07 - 50.112.80.181:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/19 16:46:07 - 50.112.80.181:   Completed check of node 50.112.80.181.
2013/09/19 16:46:07 - Determining availability zone.
2013/09/19 16:46:07 - Gathering public and private ip addresses.
2013/09/19 16:46:07 - Connecting to node 54.202.23.4 for cluster configuration.
2013/09/19 16:46:07 - Connecting via SSH.
2013/09/19 16:46:08 - Checking software installation completed.
2013/09/19 16:46:08 - Software installation finished.
2013/09/19 16:46:08 - Sending /home/ubuntu/node_health_script via SFTP.
2013/09/19 16:46:09 - Checking file contents.
2013/09/19 16:46:09 - Remote file contents confirmed.
2013/09/19 16:46:10 - No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/19 16:46:10 - Writing cluster private ip addresses to file on instance.
2013/09/19 16:46:10 - Sending /etc/HPCCSystems/source/ips.txt via SFTP.
2013/09/19 16:46:11 - Copying /etc/HPCCSystems/source/ips.txt to desitnation.
2013/09/19 16:46:11 - Checking file contents.
2013/09/19 16:46:11 - Remote file contents confirmed.
2013/09/19 16:46:11 - Running envgen
2013/09/19 16:46:12 - Reading the config file.
2013/09/19 16:46:13 - Retrieving IP address of ESP Server.
2013/09/19 16:46:13 - ESP Server private IP address: 10.253.105.55.
2013/09/19 16:46:13 - ESP Server public IP address: 54.202.23.4.
2013/09/19 16:46:13 - 54.202.23.4:     Starting node configuration.
2013/09/19 16:46:13 - 54.218.131.175:  Starting node configuration.
2013/09/19 16:46:13 - 54.218.131.175:  Connecting via SSH.
2013/09/19 16:46:13 - 54.212.153.58:   Starting node configuration.
2013/09/19 16:46:13 - 54.212.153.58:   Connecting via SSH.
2013/09/19 16:46:13 - 54.214.115.219:  Starting node configuration.
2013/09/19 16:46:13 - 54.202.23.4:     Connecting via SSH.
