2013/05/14 16:47:31 - 54.244.142.177:  Checking file contents.
2013/05/14 16:47:31 - 54.245.17.37:    Checking file contents.
2013/05/14 16:47:31 - 54.244.180.126:  Checking file contents.
2013/05/14 16:47:31 - 50.112.24.14:    Software installation finished.
2013/05/14 16:47:31 - 50.112.24.14:    Sending /home/ubuntu/node_health_script via SFTP.
2013/05/14 16:47:31 - 54.245.194.113:  Remote file contents confirmed.
2013/05/14 16:47:31 - 54.245.200.152:  Remote file contents confirmed.
2013/05/14 16:47:31 - 54.214.60.251:   Remote file contents confirmed.
2013/05/14 16:47:31 - 54.214.58.86:    Remote file contents confirmed.
2013/05/14 16:47:31 - 54.244.68.2:     Remote file contents confirmed.
2013/05/14 16:47:31 - 54.214.73.177:   Remote file contents confirmed.
2013/05/14 16:47:31 - 54.244.216.77:   Checking file contents.
2013/05/14 16:47:31 - 54.244.147.82:   Checking file contents.
2013/05/14 16:47:31 - 54.244.147.234:  Remote file contents confirmed.
2013/05/14 16:47:31 - 54.244.203.137:  Checking file contents.
2013/05/14 16:47:31 - 54.244.196.171:  Remote file contents confirmed.
2013/05/14 16:47:31 - 54.245.185.167:  Remote file contents confirmed.
2013/05/14 16:47:31 - 54.244.142.177:  Remote file contents confirmed.
2013/05/14 16:47:31 - 54.245.17.37:    Remote file contents confirmed.
2013/05/14 16:47:31 - 54.244.180.126:  Remote file contents confirmed.
2013/05/14 16:47:31 - 54.244.216.77:   Remote file contents confirmed.
2013/05/14 16:47:31 - 54.245.137.14:   Checking software installation completed.
2013/05/14 16:47:32 - 54.245.20.137:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/14 16:47:32 - 54.245.20.137:   Completed check of node 54.245.20.137.
2013/05/14 16:47:32 - 54.214.58.148:   Checking EC2 instance i-5a348b6f.
2013/05/14 16:47:32 - 54.244.203.137:  Remote file contents confirmed.
2013/05/14 16:47:32 - 54.244.147.82:   Remote file contents confirmed.
2013/05/14 16:47:32 - 50.112.24.14:    Checking file contents.
2013/05/14 16:47:32 - 54.245.138.7:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/14 16:47:32 - 54.244.74.247:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/14 16:47:32 - 54.244.74.247:   Completed check of node 54.244.74.247.
2013/05/14 16:47:32 - 54.214.116.125:  Checking EC2 instance i-44348b71.
2013/05/14 16:47:32 - 54.214.58.148:   Checking EC2 instance is running.
2013/05/14 16:47:32 - 54.245.138.7:    Completed check of node 54.245.138.7.
2013/05/14 16:47:32 - 54.245.71.51:    Checking EC2 instance i-46348b73.
2013/05/14 16:47:32 - 54.214.58.148:   Connecting via SSH.
2013/05/14 16:47:32 - 54.244.68.2:     No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/14 16:47:32 - 54.244.68.2:     Completed check of node 54.244.68.2.
2013/05/14 16:47:32 - 54.244.76.9:     Checking EC2 instance i-40348b75.
2013/05/14 16:47:32 - 54.214.60.251:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/14 16:47:32 - 54.214.60.251:   Completed check of node 54.214.60.251.
2013/05/14 16:47:32 - 54.214.116.120:  Checking EC2 instance i-42348b77.
2013/05/14 16:47:32 - 54.245.194.113:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/14 16:47:32 - 54.245.194.113:  Completed check of node 54.245.194.113.
2013/05/14 16:47:32 - 50.112.36.176:   Checking EC2 instance i-4c348b79.
2013/05/14 16:47:32 - 54.245.200.152:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/14 16:47:32 - 54.245.200.152:  Completed check of node 54.245.200.152.
2013/05/14 16:47:32 - 54.245.153.228:  Checking EC2 instance i-4e348b7b.
2013/05/14 16:47:32 - 54.214.58.86:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/05/14 16:47:32 - 54.214.58.102:   Checking software installation completed.
2013/05/14 16:47:32 - 50.112.24.14:    Remote file contents confirmed.
2013/05/14 16:47:32 - 54.214.73.177:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
