2012/02/03 18:13:51 - Connecting to AWS region us-west-2.
2012/02/03 18:13:51 - Calculating new unique cluster name for request 97.
2012/02/03 18:13:52 - Creating new cluster name, Thor-TVED.
2012/02/03 18:13:52 - Creating Thor-TVED security group.
2012/02/03 18:13:55 - Creating Thor-TVED key pair.
2012/02/03 18:13:57 - Launching 11 m1.large nodes using ami-94b33ea4.
2012/02/03 18:13:58 - Reservation ID r-a4bdc494 created
2012/02/03 18:13:58 - Waiting for 11 of 11 nodes to launch.
2012/02/03 18:14:06 - Waiting for 11 of 11 nodes to launch.
2012/02/03 18:14:14 - Waiting for 11 of 11 nodes to launch.
2012/02/03 18:14:22 - Waiting for 10 of 11 nodes to launch.
2012/02/03 18:14:29 - Waiting for 5 of 11 nodes to launch.
2012/02/03 18:14:36 - Waiting for 2 of 11 nodes to launch.
2012/02/03 18:14:41 - Waiting for 2 of 11 nodes to launch.
2012/02/03 18:14:47 - Waiting for 1 of 11 nodes to launch.
2012/02/03 18:14:52 - Pending instances have completed.
2012/02/03 18:14:52 - Checking each node launched properly.
2012/02/03 18:22:19 - 50.112.29.109:   Checking software installation completed.
2012/02/03 18:22:19 - 50.112.31.114:   Checking disk I/O
2012/02/03 18:22:19 - 50.112.36.137:   Checking software installation completed.
2012/02/03 18:22:19 - 50.112.2.98:     Checking disk I/O
2012/02/03 18:22:19 - 50.112.34.223:   Checking software installation completed.
2012/02/03 18:22:20 - 50.112.52.79:    Checking software installation completed.
2012/02/03 18:22:20 - 50.112.47.33:    Checking software installation completed.
2012/02/03 18:22:20 - 50.112.31.12:    Checking software installation completed.
2012/02/03 18:22:20 - 50.112.39.196:   Checking software installation completed.
2012/02/03 18:22:20 - 50.112.26.101:   Checking software installation completed.
2012/02/03 18:22:20 - 50.112.2.98:     Checking software installation completed.
2012/02/03 18:22:20 - 50.112.31.114:   Checking software installation completed.
2012/02/03 18:22:20 - 50.112.7.177:    Software installation finished.
2012/02/03 18:22:20 - 50.112.7.177:    Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/02/03 18:22:20 - 50.112.29.109:   Software installation finished.
2012/02/03 18:22:20 - 50.112.29.109:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/02/03 18:22:20 - 50.112.36.137:   Software installation finished.
2012/02/03 18:22:20 - 50.112.36.137:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/02/03 18:22:20 - 50.112.34.223:   Software installation finished.
2012/02/03 18:22:20 - 50.112.34.223:   Sending /etc/HPCCSystems/environment.xml via SFTP.
