2014/06/17 15:39:24 - Connecting to AWS region us-west-2.
2014/06/17 15:39:24 - Calculating new unique cluster name for request 819.
2014/06/17 15:39:25 - Creating new cluster name, Hpcc-5SB4.
2014/06/17 15:39:25 - Creating Hpcc-5SB4 security group.
2014/06/17 15:39:27 - Creating Hpcc-5SB4 key pair.
2014/06/17 15:39:29 - Launching 20 m1.large nodes using ami-2aadc71a.
2014/06/17 15:39:30 - Reservation ID r-32837139 created.
2014/06/17 15:39:30 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:39:38 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:39:45 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:39:53 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:00 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:07 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:15 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:22 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:30 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:37 - Waiting for 20 of 20 nodes to launch.
2014/06/17 15:40:45 - Waiting for 17 of 20 nodes to launch.
2014/06/17 15:40:53 - Waiting for 1 of 20 nodes to launch.
2014/06/17 15:40:58 - Pending instances have completed.
2014/06/17 15:40:58 - Checking each node launched properly.
2014/06/17 15:41:07 - 54.184.120.132:  Completed check of node 54.184.120.132.
2014/06/17 15:41:07 - 54.188.41.161:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/06/17 15:41:07 - 54.188.41.161:   Completed check of node 54.188.41.161.
2014/06/17 15:41:07 - 54.245.217.125:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/06/17 15:41:07 - 54.245.217.125:  Completed check of node 54.245.217.125.
2014/06/17 15:41:07 - 54.203.4.97:     Remote file contents confirmed.
2014/06/17 15:41:07 - 54.203.199.248:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/06/17 15:41:07 - 54.203.199.248:  Completed check of node 54.203.199.248.
2014/06/17 15:41:07 - 54.218.218.172:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/06/17 15:41:07 - 54.218.218.172:  Completed check of node 54.218.218.172.
2014/06/17 15:41:07 - 54.245.171.196:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/06/17 15:41:07 - 54.245.171.196:  Completed check of node 54.245.171.196.
2014/06/17 15:41:07 - 54.203.42.217:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/06/17 15:41:07 - 54.203.42.217:   Completed check of node 54.203.42.217.
2014/06/17 15:41:08 - 54.203.171.125:  Checking software installation completed.
2014/06/17 15:41:08 - 54.184.235.119:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/06/17 15:41:08 - 54.184.235.119:  Completed check of node 54.184.235.119.
2014/06/17 15:41:08 - 54.203.4.97:     No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/06/17 15:41:08 - 54.203.4.97:     Completed check of node 54.203.4.97.
2014/06/17 15:41:09 - 54.203.171.125:  Software installation finished.
2014/06/17 15:41:09 - 54.203.171.125:  Sending /home/ubuntu/node_health_script via SFTP.
2014/06/17 15:41:09 - 54.189.149.232:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/06/17 15:41:09 - 54.189.149.232:  Completed check of node 54.189.149.232.
2014/06/17 15:41:10 - 54.203.171.125:  Checking file contents.
2014/06/17 15:41:10 - 54.203.171.125:  Remote file contents confirmed.
2014/06/17 15:41:10 - 54.188.183.179:  Checking software installation completed.
2014/06/17 15:41:11 - 54.188.183.179:  Software installation finished.
2014/06/17 15:41:11 - 54.188.183.179:  Sending /home/ubuntu/node_health_script via SFTP.
2014/06/17 15:41:11 - 54.203.171.125:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/06/17 15:41:11 - 54.203.171.125:  Completed check of node 54.203.171.125.
2014/06/17 15:41:11 - 50.112.9.194:    Software installation finished.
2014/06/17 15:41:11 - 50.112.9.194:    Sending /home/ubuntu/node_health_script via SFTP.
2014/06/17 15:41:11 - 50.112.70.229:   Software installation finished.
2014/06/17 15:41:11 - 50.112.70.229:   Sending /home/ubuntu/node_health_script via SFTP.
2014/06/17 15:41:11 - 54.185.206.134:  Software installation finished.
2014/06/17 15:41:11 - 54.185.206.134:  Sending /home/ubuntu/node_health_script via SFTP.
2014/06/17 15:41:11 - 54.218.201.135:  Software installation finished.
2014/06/17 15:41:11 - 54.218.201.135:  Sending /home/ubuntu/node_health_script via SFTP.
2014/06/17 15:41:11 - 54.188.183.179:  Checking file contents.
2014/06/17 15:41:11 - 50.112.9.194:    Checking file contents.
2014/06/17 15:41:11 - 54.188.183.179:  Remote file contents confirmed.
2014/06/17 15:41:11 - 50.112.70.229:   Checking file contents.
2014/06/17 15:41:12 - 54.185.206.134:  Checking file contents.
2014/06/17 15:41:12 - 54.184.163.106:  Waiting on SSH connection.
2014/06/17 15:41:12 - 50.112.9.194:    Remote file contents confirmed.
2014/06/17 15:41:12 - 54.218.201.135:  Checking file contents.
2014/06/17 15:41:12 - 50.112.70.229:   Remote file contents confirmed.
2014/06/17 15:41:12 - 54.185.206.134:  Remote file contents confirmed.
2014/06/17 15:41:12 - 54.218.201.135:  Remote file contents confirmed.
2014/06/17 15:41:12 - 54.188.183.179:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/06/17 15:41:12 - 54.188.183.179:  Completed check of node 54.188.183.179.
2014/06/17 15:41:12 - 50.112.70.229:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/06/17 15:41:12 - 50.112.70.229:   Completed check of node 50.112.70.229.
2014/06/17 15:41:12 - 50.112.9.194:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/06/17 15:41:12 - 50.112.9.194:    Completed check of node 50.112.9.194.
2014/06/17 15:41:13 - 54.185.206.134:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/06/17 15:41:13 - 54.185.206.134:  Completed check of node 54.185.206.134.
2014/06/17 15:41:13 - 54.218.201.135:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/06/17 15:41:13 - 54.218.201.135:  Completed check of node 54.218.201.135.
2014/06/17 15:41:21 - 54.184.163.106:  Checking software installation completed.
2014/06/17 15:41:21 - 54.184.163.106:  Waiting for software to install.
2014/06/17 15:41:31 - 54.184.163.106:  Software installation finished.
2014/06/17 15:41:31 - 54.184.163.106:  Sending /home/ubuntu/node_health_script via SFTP.
2014/06/17 15:41:32 - 54.184.163.106:  Checking file contents.
2014/06/17 15:41:32 - 54.184.163.106:  Remote file contents confirmed.
2014/06/17 15:41:33 - 54.184.163.106:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/06/17 15:41:33 - 54.184.163.106:  Completed check of node 54.184.163.106.
2014/06/17 15:41:33 - Determining availability zone.
2014/06/17 15:41:33 - Gathering public and private ip addresses.
2014/06/17 15:41:33 - Connecting to node 54.185.206.134 for cluster configuration.
2014/06/17 15:41:33 - Connecting via SSH.
2014/06/17 15:41:39 - Checking software installation completed.
2014/06/17 15:41:40 - Software installation finished.
2014/06/17 15:41:40 - Sending /home/ubuntu/node_health_script via SFTP.
2014/06/17 15:41:40 - Checking file contents.
2014/06/17 15:41:40 - Remote file contents confirmed.
2014/06/17 15:41:41 - No Packet, Sys logs, free memory, free disk, or disk I/O errors
2014/06/17 15:41:41 - Writing cluster private ip addresses to file on instance.
2014/06/17 15:41:41 - Sending /etc/HPCCSystems/source/ips.txt via SFTP.
2014/06/17 15:41:42 - Copying /etc/HPCCSystems/source/ips.txt to desitnation.
2014/06/17 15:41:42 - Checking file contents.
2014/06/17 15:41:42 - Remote file contents confirmed.
2014/06/17 15:41:42 - Running envgen
2014/06/17 15:41:43 - Reading the config file.
2014/06/17 15:41:44 - Retrieving IP address of ESP Server.
2014/06/17 15:41:44 - ESP Server private IP address: 10.232.25.198.
2014/06/17 15:41:44 - ESP Server public IP address: 54.185.206.134.
2014/06/17 15:41:44 - 54.203.4.97:     Starting node configuration.
2014/06/17 15:41:44 - 54.189.71.159:   Starting node configuration.
2014/06/17 15:41:44 - 54.188.183.179:  Starting node configuration.
2014/06/17 15:41:44 - 50.112.70.229:   Starting node configuration.
2014/06/17 15:41:44 - 54.189.71.159:   Connecting via SSH.
