2012/11/20 04:25:22 - Connecting to AWS region us-west-2.
2012/11/20 04:25:22 - Calculating new unique cluster name for request 412.
2012/11/20 04:25:22 - Creating new cluster name, Hpcc-2M4P.
2012/11/20 04:25:22 - Creating Hpcc-2M4P security group.
2012/11/20 04:25:26 - Creating Hpcc-2M4P key pair.
2012/11/20 04:25:27 - Launching 13 m1.large nodes using ami-e01698d0.
2012/11/20 04:25:28 - Reservation ID r-07684834 created.
2012/11/20 04:25:28 - Waiting for 13 of 13 nodes to launch.
2012/11/20 04:25:37 - Waiting for 13 of 13 nodes to launch.
2012/11/20 04:25:45 - Waiting for 13 of 13 nodes to launch.
2012/11/20 04:25:54 - Waiting for 13 of 13 nodes to launch.
2012/11/20 04:26:02 - Waiting for 13 of 13 nodes to launch.
2012/11/20 04:26:11 - Waiting for 13 of 13 nodes to launch.
2012/11/20 04:26:20 - Waiting for 10 of 13 nodes to launch.
2012/11/20 04:26:28 - Waiting for 6 of 13 nodes to launch.
2012/11/20 04:26:35 - Waiting for 4 of 13 nodes to launch.
2012/11/20 04:26:41 - Waiting for 2 of 13 nodes to launch.
2012/11/20 04:26:47 - Waiting for 2 of 13 nodes to launch.
2012/11/20 04:26:52 - Waiting for 1 of 13 nodes to launch.
2012/11/20 04:26:57 - Pending instances have completed.
2012/11/20 04:26:57 - Checking each node launched properly.
2012/11/20 04:27:28 - 54.245.46.17:    Checking software installation completed.
2012/11/20 04:27:28 - 54.245.37.86:    Checking software installation completed.
2012/11/20 04:27:28 - 50.112.9.148:    Software installation finished.
2012/11/20 04:27:28 - 50.112.9.148:    Sending /home/ubuntu/node_health_script via SFTP.
2012/11/20 04:27:28 - 50.112.8.210:    Software installation finished.
2012/11/20 04:27:28 - 50.112.8.210:    Sending /home/ubuntu/node_health_script via SFTP.
2012/11/20 04:27:28 - 50.112.30.220:   Software installation finished.
2012/11/20 04:27:28 - 50.112.30.220:   Sending /home/ubuntu/node_health_script via SFTP.
2012/11/20 04:27:28 - 50.112.202.38:   Software installation finished.
2012/11/20 04:27:28 - 50.112.202.38:   Sending /home/ubuntu/node_health_script via SFTP.
2012/11/20 04:27:28 - 50.112.6.56:     Software installation finished.
2012/11/20 04:27:28 - 50.112.6.56:     Sending /home/ubuntu/node_health_script via SFTP.
2012/11/20 04:27:28 - 54.245.39.230:   Software installation finished.
2012/11/20 04:27:28 - 54.245.39.230:   Sending /home/ubuntu/node_health_script via SFTP.
2012/11/20 04:27:28 - 54.245.29.21:    Software installation finished.
2012/11/20 04:27:28 - 54.245.29.21:    Sending /home/ubuntu/node_health_script via SFTP.
2012/11/20 04:27:28 - 54.245.32.49:    Software installation finished.
2012/11/20 04:27:28 - 54.245.32.49:    Sending /home/ubuntu/node_health_script via SFTP.
2012/11/20 04:27:28 - 54.245.140.111:  Software installation finished.
2012/11/20 04:27:28 - 54.245.140.111:  Sending /home/ubuntu/node_health_script via SFTP.
2012/11/20 04:27:28 - 50.112.230.251:  Software installation finished.
2012/11/20 04:27:28 - 50.112.230.251:  Sending /home/ubuntu/node_health_script via SFTP.
2012/11/20 04:27:28 - 54.245.37.86:    Software installation finished.
2012/11/20 04:27:28 - 54.245.37.86:    Sending /home/ubuntu/node_health_script via SFTP.
2012/11/20 04:27:28 - 54.245.46.17:    Software installation finished.
2012/11/20 04:27:28 - 54.245.46.17:    Sending /home/ubuntu/node_health_script via SFTP.
2012/11/20 04:27:28 - 50.112.9.148:    Checking file contents.
2012/11/20 04:27:28 - 50.112.6.56:     Checking file contents.
2012/11/20 04:27:28 - 50.112.30.220:   Checking file contents.
2012/11/20 04:27:28 - 50.112.8.210:    Checking file contents.
2012/11/20 04:27:28 - 50.112.202.38:   Checking file contents.
2012/11/20 04:27:28 - 54.245.39.230:   Checking file contents.
2012/11/20 04:27:28 - 54.245.29.21:    Checking file contents.
2012/11/20 04:27:28 - 54.245.32.49:    Checking file contents.
2012/11/20 04:27:29 - 54.245.140.111:  Checking file contents.
2012/11/20 04:27:29 - 54.245.46.17:    Checking file contents.
2012/11/20 04:27:29 - 54.245.37.86:    Checking file contents.
2012/11/20 04:27:29 - 50.112.230.251:  Checking file contents.
2012/11/20 04:27:29 - 50.112.9.148:    Remote file contents confirmed.
2012/11/20 04:27:29 - 50.112.6.56:     Remote file contents confirmed.
2012/11/20 04:27:29 - 50.112.8.210:    Remote file contents confirmed.
2012/11/20 04:27:29 - 50.112.30.220:   Remote file contents confirmed.
2012/11/20 04:27:29 - 50.112.202.38:   Remote file contents confirmed.
2012/11/20 04:27:29 - 54.245.32.49:    Remote file contents confirmed.
2012/11/20 04:27:29 - 54.245.29.21:    Remote file contents confirmed.
2012/11/20 04:27:29 - 54.245.39.230:   Remote file contents confirmed.
2012/11/20 04:27:29 - 54.245.140.111:  Remote file contents confirmed.
2012/11/20 04:27:29 - 54.245.46.17:    Remote file contents confirmed.
2012/11/20 04:27:29 - 54.245.37.86:    Remote file contents confirmed.
2012/11/20 04:27:29 - 50.112.230.251:  Remote file contents confirmed.
2012/11/20 04:27:29 - 50.112.9.148:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/20 04:27:29 - 50.112.9.148:    Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/11/20 04:27:29 - 50.112.6.56:     No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/20 04:27:29 - 50.112.6.56:     Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/11/20 04:27:30 - 50.112.8.210:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/20 04:27:30 - 50.112.8.210:    Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/11/20 04:27:30 - 50.112.30.220:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/20 04:27:30 - 50.112.30.220:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/11/20 04:27:30 - 50.112.202.38:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/20 04:27:30 - 50.112.202.38:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/11/20 04:27:30 - 54.245.32.49:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/20 04:27:30 - 54.245.32.49:    Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/11/20 04:27:30 - 54.245.29.21:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/20 04:27:30 - 54.245.29.21:    Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/11/20 04:27:30 - 54.245.39.230:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/20 04:27:30 - 54.245.39.230:   Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/11/20 04:27:30 - 54.245.140.111:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/20 04:27:30 - 54.245.140.111:  Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/11/20 04:27:30 - 54.245.37.86:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/20 04:27:30 - 54.245.37.86:    Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/11/20 04:27:30 - 54.245.46.17:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/20 04:27:30 - 54.245.46.17:    Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/11/20 04:27:30 - 50.112.230.251:  No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/11/20 04:27:30 - 50.112.230.251:  Sending /etc/HPCCSystems/environment.xml via SFTP.
2012/11/20 04:27:31 - 50.112.9.148:    Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/11/20 04:27:31 - 50.112.6.56:     Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/11/20 04:27:31 - 50.112.202.38:   Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/11/20 04:27:31 - 54.245.140.111:  Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/11/20 04:27:31 - 50.112.8.210:    Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/11/20 04:27:31 - 50.112.30.220:   Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/11/20 04:27:31 - 54.245.39.230:   Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/11/20 04:27:31 - 54.245.29.21:    Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/11/20 04:27:31 - 54.245.32.49:    Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/11/20 04:27:31 - 50.112.9.148:    Checking file contents.
2012/11/20 04:27:31 - 54.245.37.86:    Copying /etc/HPCCSystems/environment.xml to desitnation.
2012/11/20 04:27:31 - 50.112.6.56:     Checking file contents.
