2012/01/31 22:45:41 - Connecting to AWS region us-west-2.
2012/01/31 22:45:41 - Calculating new unique cluster name for request 69.
2012/01/31 22:45:42 - Creating new cluster name, Thor-V3DN.
2012/01/31 22:45:42 - Creating Thor-V3DN security group.
2012/01/31 22:45:46 - Creating Thor-V3DN key pair.
2012/01/31 22:45:46 - Launching 11 m1.large nodes using ami-94b33ea4.
2012/01/31 22:45:47 - Reservation ID r-46c1be76 created
2012/01/31 22:45:47 - Waiting for 11 of 11 nodes to launch.
2012/01/31 22:45:55 - Waiting for 11 of 11 nodes to launch.
2012/01/31 22:46:04 - Waiting for 11 of 11 nodes to launch.
2012/01/31 22:46:11 - Waiting for 9 of 11 nodes to launch.
2012/01/31 22:46:19 - Waiting for 2 of 11 nodes to launch.
2012/01/31 22:46:24 - Pending instances have completed.
2012/01/31 22:46:24 - Checking each node launched properly.
2012/01/31 22:47:41 - 50.112.50.234:   Starting mydafilesrv....       [  OK  ]   
2012/01/31 22:47:41 - 50.112.50.234:   Setting mythor....             [  OK  ]  
2012/01/31 22:47:41 - 50.112.47.150:   Start node is complete.
2012/01/31 22:47:41 - 50.112.50.234:   Start node is complete.
2012/01/31 22:47:41 - 50.112.26.73:    Starting mydafilesrv....       [  OK  ]   
2012/01/31 22:47:41 - 50.112.26.73:    Setting mythor....             [  OK  ]  
2012/01/31 22:47:41 - 50.112.26.73:    Start node is complete.
2012/01/31 22:47:41 - 50.112.26.44:    Starting mydafilesrv....       [  OK  ]   
2012/01/31 22:47:41 - 50.112.26.44:    Setting mythor....             [  OK  ]  
2012/01/31 22:47:41 - 50.112.26.44:    Start node is complete.
2012/01/31 22:47:42 - 50.112.48.254:   Starting mydafilesrv....       [  OK  ]   
2012/01/31 22:47:42 - 50.112.48.254:   Starting myeclscheduler....    [  OK  ]   
2012/01/31 22:47:42 - 50.112.48.254:   Setting mythor....             [  OK  ]  
2012/01/31 22:47:42 - 50.112.48.254:   Start node is complete.
2012/01/31 22:47:42 - 50.112.5.95:     Starting mydafilesrv....       [  OK  ]   
2012/01/31 22:47:42 - 50.112.5.95:     Starting mydfuserver....       [  OK  ]   
2012/01/31 22:47:42 - 50.112.5.95:     Setting mythor....             [  OK  ]  
2012/01/31 22:47:42 - 50.112.19.20:    Starting mydafilesrv....       [  OK  ]   
2012/01/31 22:47:42 - 50.112.19.20:    Starting mydali....            [  OK  ]   
2012/01/31 22:47:42 - 50.112.19.20:    Setting mythor....             [  OK  ]  
2012/01/31 22:47:42 - 50.112.19.20:    Start node is complete.
2012/01/31 22:47:42 - 50.112.4.145:    Starting mydafilesrv....       [  OK  ]   
2012/01/31 22:47:42 - 50.112.4.145:    Starting myeclccserver....     [  OK  ]   
2012/01/31 22:47:42 - 50.112.4.145:    Setting mythor....             [  OK  ]  
2012/01/31 22:47:42 - 50.112.4.145:    Start node is complete.
2012/01/31 22:47:42 - 50.112.5.95:     Start node is complete.
2012/01/31 22:47:42 - 50.112.22.21:    Starting mydafilesrv....       [  OK  ]   
2012/01/31 22:47:42 - 50.112.22.21:    Starting mysasha....           [  OK  ]   
2012/01/31 22:47:42 - 50.112.22.21:    Setting mythor....             [  OK  ]  
2012/01/31 22:47:42 - 50.112.22.21:    Start node is complete.
2012/01/31 22:47:42 - 50.112.46.41:    Starting mydafilesrv....       [  OK  ]   
2012/01/31 22:47:42 - 50.112.46.41:    Starting myeclagent....        [  OK  ]   
2012/01/31 22:47:42 - 50.112.46.41:    Setting mythor....             [  OK  ]  
2012/01/31 22:47:42 - 50.112.46.41:    Start node is complete.
2012/01/31 22:47:57 - 50.112.17.43:    Starting mydafilesrv....       [  OK  ]   
2012/01/31 22:47:57 - 50.112.17.43:    Starting myesp....             [  OK  ]   
2012/01/31 22:47:57 - 50.112.17.43:    Starting mythor....            [  OK  ]  
2012/01/31 22:47:57 - 50.112.17.43:    Start node is complete.
2012/01/31 22:47:57 - Done.
2012/01/31 22:53:15 - Terminating cluster.
2012/01/31 22:53:15 - Connecting to AWS region us-west-2.
