2012/02/10 17:16:11 - Connecting to AWS region us-west-2.
2012/02/10 17:16:11 - Calculating new unique cluster name for request 121.
2012/02/10 17:16:13 - Creating new cluster name, Thor-K93V.
2012/02/10 17:16:13 - Creating Thor-K93V security group.
2012/02/10 17:16:17 - Creating Thor-K93V key pair.
2012/02/10 17:16:17 - Launching 5 m1.large nodes using ami-1c78f52c.
2012/02/10 17:16:18 - Reservation ID r-44420774 created.
2012/02/10 17:16:18 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:25 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:31 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:37 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:44 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:50 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:16:56 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:17:03 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:17:09 - Waiting for 2 of 5 nodes to launch.
2012/02/10 17:17:14 - Pending instances have completed.
2012/02/10 17:17:14 - Checking each node launched properly.
2012/02/10 17:21:27 - 50.112.43.129:   Waiting for software to install.
2012/02/10 17:21:28 - 50.112.50.153:   Waiting for software to install.
2012/02/10 17:21:30 - 50.112.46.132:   Waiting for software to install.
2012/02/10 17:21:30 - 50.112.18.70:    Waiting for software to install.
2012/02/10 17:21:33 - 50.112.40.126:   Waiting for software to install.
2012/02/10 17:21:37 - 50.112.43.129:   Waiting for software to install.
2012/02/10 17:21:39 - 50.112.50.153:   Waiting for software to install.
2012/02/10 17:21:40 - 50.112.46.132:   Waiting for software to install.
2012/02/10 17:21:40 - 50.112.18.70:    Waiting for software to install.
2012/02/10 17:21:43 - 50.112.40.126:   Waiting for software to install.
2012/02/10 17:21:47 - 50.112.43.129:   Waiting for software to install.
2012/02/10 17:21:49 - 50.112.50.153:   Waiting for software to install.
2012/02/10 17:21:50 - 50.112.46.132:   Waiting for software to install.
2012/02/10 17:21:51 - 50.112.18.70:    Waiting for software to install.
2012/02/10 17:21:54 - 50.112.40.126:   Waiting for software to install.
2012/02/10 17:21:58 - 50.112.43.129:   Waiting for software to install.
2012/02/10 17:21:59 - 50.112.50.153:   Waiting for software to install.
2012/02/10 17:22:01 - 50.112.46.132:   Waiting for software to install.
2012/02/10 17:22:01 - 50.112.18.70:    Waiting for software to install.
2012/02/10 17:22:04 - 50.112.40.126:   Waiting for software to install.
2012/02/10 17:22:08 - 50.112.43.129:   Waiting for software to install.
2012/02/10 17:22:10 - 50.112.50.153:   Waiting for software to install.
2012/02/10 17:22:11 - 50.112.46.132:   Waiting for software to install.
2012/02/10 17:22:13 - 50.112.18.70:    Waiting for software to install.
2012/02/10 17:22:15 - 50.112.40.126:   Waiting for software to install.
2012/02/10 17:22:18 - 50.112.43.129:   Waiting for software to install.
2012/02/10 17:22:20 - 50.112.50.153:   Waiting for software to install.
2012/02/10 17:22:21 - 50.112.46.132:   Waiting for software to install.
2012/02/10 17:22:24 - 50.112.18.70:    Waiting for software to install.
2012/02/10 17:22:25 - 50.112.40.126:   Waiting for software to install.
2012/02/10 17:22:29 - 50.112.43.129:   Waiting for software to install.
2012/02/10 17:22:30 - 50.112.50.153:   50.112.50.153: Timed out waiting for software to install..
2012/02/10 17:22:30 - 50.112.50.153:   Error - Node 50.112.50.153 failed check.
2012/02/10 17:22:30 - 50.112.50.153:   Completed check of node 50.112.50.153.
2012/02/10 17:22:32 - 50.112.46.132:   50.112.46.132: Timed out waiting for software to install..
2012/02/10 17:22:32 - 50.112.46.132:   Error - Node 50.112.46.132 failed check.
2012/02/10 17:22:32 - 50.112.46.132:   Completed check of node 50.112.46.132.
2012/02/10 17:22:34 - 50.112.18.70:    50.112.18.70: Timed out waiting for software to install..
2012/02/10 17:22:34 - 50.112.18.70:    Error - Node 50.112.18.70 failed check.
2012/02/10 17:22:34 - 50.112.18.70:    Completed check of node 50.112.18.70.
2012/02/10 17:22:35 - 50.112.40.126:   50.112.40.126: Timed out waiting for software to install..
2012/02/10 17:22:35 - 50.112.40.126:   Error - Node 50.112.40.126 failed check.
2012/02/10 17:22:35 - 50.112.40.126:   Completed check of node 50.112.40.126.
2012/02/10 17:22:39 - 50.112.43.129:   50.112.43.129: Timed out waiting for software to install..
2012/02/10 17:22:39 - 50.112.43.129:   Error - Node 50.112.43.129 failed check.
2012/02/10 17:22:39 - 50.112.43.129:   Completed check of node 50.112.43.129.
2012/02/10 17:22:39 - Terminating 5 bad instances.
2012/02/10 17:22:39 - Terminating instances.
2012/02/10 17:22:42 - Waiting for 5 instances to terminate.
2012/02/10 17:22:49 - Reservation ID r-c64207f6 created.
2012/02/10 17:22:49 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:22:56 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:23:02 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:23:08 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:23:15 - Waiting for 5 of 5 nodes to launch.
2012/02/10 17:23:21 - Waiting for 5 of 5 nodes to launch.
