2013/09/14 11:08:46 - Connecting to AWS region us-west-2.
2013/09/14 11:08:47 - Calculating new unique cluster name for request 686.
2013/09/14 11:08:47 - Creating new cluster name, Hpcc-3RUH.
2013/09/14 11:08:47 - Creating Hpcc-3RUH security group.
2013/09/14 11:08:51 - Creating Hpcc-3RUH key pair.
2013/09/14 11:08:53 - Launching 17 m1.large nodes using ami-4dc7577d.
2013/09/14 11:08:54 - Reservation ID r-3848790c created.
2013/09/14 11:08:54 - Waiting for 17 of 17 nodes to launch.
2013/09/14 11:09:04 - Waiting for 17 of 17 nodes to launch.
2013/09/14 11:09:12 - Waiting for 17 of 17 nodes to launch.
2013/09/14 11:09:21 - Waiting for 17 of 17 nodes to launch.
2013/09/14 11:09:29 - Waiting for 17 of 17 nodes to launch.
2013/09/14 11:09:37 - Waiting for 17 of 17 nodes to launch.
2013/09/14 11:09:46 - Waiting for 17 of 17 nodes to launch.
2013/09/14 11:09:55 - Waiting for 16 of 17 nodes to launch.
2013/09/14 11:10:06 - Waiting for 13 of 17 nodes to launch.
2013/09/14 11:10:14 - Waiting for 5 of 17 nodes to launch.
2013/09/14 11:10:21 - Pending instances have completed.
2013/09/14 11:10:21 - Checking each node launched properly.
2013/09/14 11:10:39 - Connecting to node 54.200.44.246 for cluster configuration.
2013/09/14 11:10:39 - Connecting via SSH.
2013/09/14 11:10:40 - Checking software installation completed.
2013/09/14 11:10:40 - Software installation finished.
2013/09/14 11:10:40 - Sending /home/ubuntu/node_health_script via SFTP.
2013/09/14 11:10:41 - Checking file contents.
2013/09/14 11:10:41 - Remote file contents confirmed.
2013/09/14 11:10:42 - No Packet, Sys logs, free memory, free disk, or disk I/O errors
2013/09/14 11:10:42 - Writing cluster private ip addresses to file on instance.
2013/09/14 11:10:42 - Sending /etc/HPCCSystems/source/ips.txt via SFTP.
2013/09/14 11:10:42 - Copying /etc/HPCCSystems/source/ips.txt to desitnation.
2013/09/14 11:10:43 - Checking file contents.
2013/09/14 11:10:43 - Remote file contents confirmed.
2013/09/14 11:10:43 - Running envgen
2013/09/14 11:10:44 - Reading the config file.
2013/09/14 11:10:44 - Retrieving IP address of ESP Server.
2013/09/14 11:10:45 - ESP Server private IP address: 172.31.35.211.
2013/09/14 11:10:45 - ESP Server public IP address: 54.200.44.246.
2013/09/14 11:10:45 - 54.200.44.246:   Starting node configuration.
2013/09/14 11:10:45 - 54.200.44.246:   Connecting via SSH.
