2012/10/26 11:42:07 - Connecting to AWS region us-west-2.
2012/10/26 11:42:07 - Calculating new unique cluster name for request 370.
2012/10/26 11:42:08 - Creating new cluster name, Hpcc-G8ZR.
2012/10/26 11:42:08 - Creating Hpcc-G8ZR security group.
2012/10/26 11:42:12 - Creating Hpcc-G8ZR key pair.
2012/10/26 11:42:13 - Launching 20 m1.large nodes using ami-bcd4588c.
2012/10/26 11:42:14 - Reservation ID r-d7cf89e4 created.
2012/10/26 11:42:14 - Waiting for 20 of 20 nodes to launch.
2012/10/26 11:42:25 - Waiting for 20 of 20 nodes to launch.
2012/10/26 11:42:35 - Waiting for 20 of 20 nodes to launch.
2012/10/26 11:42:45 - Waiting for 20 of 20 nodes to launch.
2012/10/26 11:42:56 - Waiting for 20 of 20 nodes to launch.
2012/10/26 11:43:06 - Waiting for 20 of 20 nodes to launch.
2012/10/26 11:43:17 - Waiting for 14 of 20 nodes to launch.
2012/10/26 11:43:26 - Waiting for 10 of 20 nodes to launch.
2012/10/26 11:43:34 - Waiting for 4 of 20 nodes to launch.
2012/10/26 11:43:40 - Pending instances have completed.
2012/10/26 11:43:40 - Checking each node launched properly.
2012/10/26 11:43:46 - 50.112.88.238:   Completed check of node 50.112.88.238.
2012/10/26 11:43:46 - 54.245.47.88:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/26 11:43:46 - 50.112.25.239:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/26 11:43:46 - 50.112.16.16:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/26 11:43:46 - 50.112.16.16:    Completed check of node 50.112.16.16.
2012/10/26 11:43:46 - 54.245.47.88:    Completed check of node 54.245.47.88.
2012/10/26 11:43:46 - 50.112.87.94:    No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/26 11:43:46 - 50.112.87.94:    Completed check of node 50.112.87.94.
2012/10/26 11:43:46 - 50.112.25.239:   Completed check of node 50.112.25.239.
2012/10/26 11:43:48 - 50.112.11.211:   Checking software installation completed.
2012/10/26 11:43:48 - 54.245.43.251:   Checking software installation completed.
2012/10/26 11:43:48 - 50.112.81.122:   Checking software installation completed.
2012/10/26 11:43:48 - 50.112.11.211:   Software installation finished.
2012/10/26 11:43:48 - 50.112.11.211:   Sending /home/ubuntu/node_health_script via SFTP.
2012/10/26 11:43:48 - 54.245.43.251:   Software installation finished.
2012/10/26 11:43:48 - 54.245.43.251:   Sending /home/ubuntu/node_health_script via SFTP.
2012/10/26 11:43:48 - 50.112.81.122:   Software installation finished.
2012/10/26 11:43:48 - 50.112.81.122:   Sending /home/ubuntu/node_health_script via SFTP.
2012/10/26 11:43:48 - 50.112.11.211:   Checking file contents.
2012/10/26 11:43:48 - 54.245.43.251:   Checking file contents.
2012/10/26 11:43:49 - 50.112.81.122:   Checking file contents.
2012/10/26 11:43:49 - 50.112.11.211:   Remote file contents confirmed.
2012/10/26 11:43:49 - 54.245.43.251:   Remote file contents confirmed.
2012/10/26 11:43:49 - 50.112.81.122:   Remote file contents confirmed.
2012/10/26 11:43:50 - 50.112.11.211:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/26 11:43:50 - 54.245.43.251:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/26 11:43:50 - 54.245.43.251:   Completed check of node 54.245.43.251.
2012/10/26 11:43:50 - 50.112.11.211:   Completed check of node 50.112.11.211.
2012/10/26 11:43:50 - 50.112.81.122:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/26 11:43:50 - 50.112.81.122:   Completed check of node 50.112.81.122.
2012/10/26 11:43:54 - 50.112.64.130:   Software installation finished.
2012/10/26 11:43:54 - 50.112.64.130:   Sending /home/ubuntu/node_health_script via SFTP.
2012/10/26 11:43:55 - 50.112.64.130:   Checking file contents.
2012/10/26 11:43:55 - 50.112.64.130:   Remote file contents confirmed.
2012/10/26 11:43:56 - 50.112.64.130:   No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/26 11:43:56 - 50.112.64.130:   Completed check of node 50.112.64.130.
2012/10/26 11:43:56 - Determining availability zone.
2012/10/26 11:43:56 - Gathering public and private ip addresses.
2012/10/26 11:43:56 - Connecting to node 54.245.43.162 for cluster configuration.
2012/10/26 11:43:56 - Connecting via SSH.
2012/10/26 11:43:58 - Checking software installation completed.
2012/10/26 11:43:58 - Software installation finished.
2012/10/26 11:43:58 - Sending /home/ubuntu/node_health_script via SFTP.
2012/10/26 11:43:58 - Checking file contents.
2012/10/26 11:43:59 - Remote file contents confirmed.
2012/10/26 11:44:00 - No Packet, Sys logs, free memory, free disk, or disk I/O errors
2012/10/26 11:44:00 - Writing cluster private ip addresses to file on instance.
2012/10/26 11:44:00 - Sending /etc/HPCCSystems/source/ips.txt via SFTP.
2012/10/26 11:44:00 - Copying /etc/HPCCSystems/source/ips.txt to desitnation.
2012/10/26 11:44:01 - Checking file contents.
2012/10/26 11:44:01 - Remote file contents confirmed.
2012/10/26 11:44:01 - Running envgen
2012/10/26 11:44:02 - Reading the config file.
2012/10/26 11:44:03 - Retrieving IP address of ESP Server.
2012/10/26 11:44:03 - ESP Server private IP address: 10.249.23.15.
2012/10/26 11:44:03 - ESP Server public IP address: 54.245.43.162.
2012/10/26 11:44:03 - 54.245.43.162:   Starting node configuration.
2012/10/26 11:44:03 - 50.112.71.221:   Starting node configuration.
2012/10/26 11:44:03 - 54.245.43.162:   Connecting via SSH.
2012/10/26 11:44:03 - 54.245.10.56:    Starting node configuration.
2012/10/26 11:44:03 - 54.245.10.56:    Connecting via SSH.
2012/10/26 11:44:03 - 50.112.25.239:   Starting node configuration.
2012/10/26 11:44:03 - 50.112.64.130:   Starting node configuration.
2012/10/26 11:44:03 - 50.112.25.239:   Connecting via SSH.
2012/10/26 11:44:03 - 50.112.11.211:   Starting node configuration.
2012/10/26 11:44:03 - 50.112.88.238:   Starting node configuration.
2012/10/26 11:44:03 - 50.112.88.238:   Connecting via SSH.
2012/10/26 11:44:03 - 50.112.197.197:  Starting node configuration.
2012/10/26 11:44:03 - 50.112.210.56:   Starting node configuration.
2012/10/26 11:44:03 - 50.112.225.182:  Starting node configuration.
2012/10/26 11:44:03 - 54.245.43.251:   Starting node configuration.
2012/10/26 11:44:03 - 54.245.43.251:   Connecting via SSH.
2012/10/26 11:44:03 - 50.112.11.211:   Connecting via SSH.
2012/10/26 11:44:03 - 50.112.71.221:   Connecting via SSH.
2012/10/26 11:44:03 - 50.112.64.130:   Connecting via SSH.
2012/10/26 11:44:03 - 50.112.87.94:    Starting node configuration.
2012/10/26 11:44:03 - 50.112.87.94:    Connecting via SSH.
2012/10/26 11:44:03 - 50.112.81.122:   Starting node configuration.
2012/10/26 11:44:03 - 50.112.81.122:   Connecting via SSH.
2012/10/26 11:44:03 - 50.112.225.182:  Connecting via SSH.
2012/10/26 11:44:03 - 50.112.210.56:   Connecting via SSH.
2012/10/26 11:44:03 - 54.245.47.88:    Starting node configuration.
2012/10/26 11:44:03 - 50.112.31.42:    Starting node configuration.
2012/10/26 11:44:03 - 54.245.4.174:    Starting node configuration.
2012/10/26 11:44:03 - 54.245.4.174:    Connecting via SSH.
2012/10/26 11:44:03 - 50.112.31.42:    Connecting via SSH.
2012/10/26 11:44:03 - 50.112.197.197:  Connecting via SSH.
2012/10/26 11:44:03 - 54.245.5.95:     Starting node configuration.
2012/10/26 11:44:03 - 54.245.5.95:     Connecting via SSH.
2012/10/26 11:44:03 - 50.112.16.16:    Starting node configuration.
2012/10/26 11:44:03 - 54.245.47.88:    Connecting via SSH.
2012/10/26 11:44:03 - 50.112.16.16:    Connecting via SSH.
2012/10/26 11:44:03 - 50.112.66.190:   Starting node configuration.
2012/10/26 11:44:03 - 50.112.66.190:   Connecting via SSH.
2012/10/26 11:44:03 - 50.112.84.146:   Starting node configuration.
2012/10/26 11:44:03 - 50.112.84.146:   Connecting via SSH.
2012/10/26 11:44:06 - 50.112.81.122:   Checking software installation completed.
2012/10/26 11:44:06 - 54.245.10.56:    Checking software installation completed.
2012/10/26 11:44:06 - 50.112.225.182:  Checking software installation completed.
2012/10/26 11:44:06 - 54.245.43.251:   Checking software installation completed.
2012/10/26 11:44:06 - 50.112.11.211:   Checking software installation completed.
2012/10/26 11:44:06 - 50.112.25.239:   Checking software installation completed.
2012/10/26 11:44:06 - 50.112.197.197:  Checking software installation completed.
2012/10/26 11:44:06 - 54.245.43.162:   Checking software installation completed.
2012/10/26 11:44:06 - 50.112.66.190:   Checking software installation completed.
2012/10/26 11:44:06 - 50.112.87.94:    Checking software installation completed.
2012/10/26 11:44:06 - 50.112.210.56:   Checking software installation completed.
2012/10/26 11:44:06 - 54.245.47.88:    Checking software installation completed.
2012/10/26 11:44:06 - 50.112.71.221:   Checking software installation completed.
2012/10/26 11:44:06 - 54.245.4.174:    Checking software installation completed.
2012/10/26 11:44:06 - 50.112.88.238:   Checking software installation completed.
2012/10/26 11:44:06 - 50.112.31.42:    Checking software installation completed.
2012/10/26 11:44:06 - 50.112.84.146:   Checking software installation completed.
2012/10/26 11:44:06 - 50.112.16.16:    Checking software installation completed.
2012/10/26 11:44:06 - 54.245.5.95:     Checking software installation completed.
2012/10/26 11:44:06 - 50.112.81.122:   Software installation finished.
2012/10/26 11:44:06 - 50.112.81.122:   Sending /home/ubuntu/node_health_script via SFTP.
2012/10/26 11:44:06 - 50.112.64.130:   Checking software installation completed.
2012/10/26 11:44:07 - 54.245.10.56:    Software installation finished.
2012/10/26 11:44:07 - 54.245.10.56:    Sending /home/ubuntu/node_health_script via SFTP.
2012/10/26 11:44:07 - 50.112.225.182:  Software installation finished.
2012/10/26 11:44:07 - 50.112.225.182:  Sending /home/ubuntu/node_health_script via SFTP.
2012/10/26 11:44:07 - 54.245.43.251:   Software installation finished.
2012/10/26 11:44:07 - 54.245.43.251:   Sending /home/ubuntu/node_health_script via SFTP.
2012/10/26 11:44:07 - 50.112.11.211:   Software installation finished.
2012/10/26 11:44:07 - 50.112.11.211:   Sending /home/ubuntu/node_health_script via SFTP.
2012/10/26 11:44:07 - 50.112.197.197:  Software installation finished.
